vehicle_id,vehicle_type,make,model,model_year,colour,date_stolen,region,region_population,region_density_km2,make_type
315,Boat Trailer,Custombuilt,AUCKLAND,2020.0,Silver,2021-10-08,Auckland,"1,695,200",343.09,Standard
1556,Utility,Mazda,BOUNTY,2005.0,White,2021-10-08,Bay of Plenty,"347,700",28.8,Standard
3136,Utility,Nissan,NAVARA,2008.0,Black,2021-10-08,Bay of Plenty,"347,700",28.8,Standard
3482,Saloon,Toyota,MARKX,2008.0,Silver,2021-10-08,Auckland,"1,695,200",343.09,Standard
1152,Other Truck,Toyota,DYNA,1995.0,White,2021-10-08,Bay of Plenty,"347,700",28.8,Standard
959,Moped,Moped,PANTERA,2016.0,Red,2021-10-08,Auckland,"1,695,200",343.09,Standard
3241,Trailer,Trailer,HOMEBUILT,2008.0,Grey,2021-10-08,Nelson,"54,500",129.15,Standard
3481,Saloon,Toyota,MARKX,2008.0,Silver,2021-10-08,Auckland,"1,695,200",343.09,Standard
3188,Hatchback,Mazda,ATENZA,2002.0,Red,2021-10-09,Waikato,"513,800",21.5,Standard
2415,Saloon,Holden,VX COMMODORE,2001.0,Blue,2021-10-09,Waikato,"513,800",21.5,Standard
4459,Utility,Toyota,HILUX,2000.0,Red,2021-10-09,Bay of Plenty,"347,700",28.8,Standard
487,Trailer,Trailer,DOMESTIC TRAILER,2009.0,Silver,2021-10-09,Waikato,"513,800",21.5,Standard
1533,Saloon,Honda,CIVIC,2005.0,Grey,2021-10-09,Northland,"201,500",16.11,Standard
2005,Stationwagon,Ford,TERRITORY,2008.0,Gold,2021-10-09,Northland,"201,500",16.11,Standard
1706,Stationwagon,Nissan,MURANO,2006.0,Grey,2021-10-09,Auckland,"1,695,200",343.09,Standard
3383,Hatchback,Nissan,TIIDA,2007.0,Gold,2021-10-09,Northland,"201,500",16.11,Standard
395,Roadbike,Hyosung,GT,2007.0,Yellow,2021-10-09,Hawke's Bay,"182,700",12.92,Standard
4448,Hatchback,Peugeot,206,2000.0,Green,2021-10-09,Gisborne,"52,100",6.21,Standard
2188,Stationwagon,Ford,ESCAPE,2005.0,Red,2021-10-09,Auckland,"1,695,200",343.09,Standard
713,Roadbike,Vespa,PX,2013.0,Red,2021-10-09,Auckland,"1,695,200",343.09,Standard
1573,Stationwagon,Isuzu,BIGHORN,1996.0,Green,2021-10-09,Bay of Plenty,"347,700",28.8,Standard
142,Trailer,Trailer,TASMAN8X5TB,2019.0,Silver,2021-10-10,Nelson,"54,500",129.15,Standard
2538,Hatchback,Suzuki,SWIFT,2009.0,Black,2021-10-10,Northland,"201,500",16.11,Standard
1560,Saloon,Nissan,PRIMERA,1996.0,Grey,2021-10-10,Waikato,"513,800",21.5,Standard
62,Trailer,Trailer,SINGLE AXLE,2018.0,Silver,2021-10-10,Auckland,"1,695,200",343.09,Standard
1575,Stationwagon,Nissan,TERRANO,1996.0,Brown,2021-10-10,Northland,"201,500",16.11,Standard
3627,Hatchback,Nissan,TIIDA,2004.0,Blue,2021-10-10,Auckland,"1,695,200",343.09,Standard
802,Hatchback,Honda,CIVIC,1995.0,Blue,2021-10-10,Gisborne,"52,100",6.21,Standard
1081,Stationwagon,Nissan,WINGROAD,1999.0,Red,2021-10-10,Gisborne,"52,100",6.21,Standard
3090,Light Van,Nissan,VANETTE,2008.0,White,2021-10-10,Bay of Plenty,"347,700",28.8,Standard
333,Trailer,Trailer,8X5,2020.0,Grey,2021-10-10,Nelson,"54,500",129.15,Standard
17,Trailer,Trailer,BSTB85B,2021.0,Silver,2021-10-10,Auckland,"1,695,200",343.09,Standard
1178,Stationwagon,Ford,MONDEO,2004.0,Red,2021-10-10,Auckland,"1,695,200",343.09,Standard
2545,Saloon,BMW,320I,2007.0,Black,2021-10-11,Auckland,"1,695,200",343.09,Luxury
615,Trailer,Homebuilt,TRAILER8X4,2018.0,Silver,2021-10-11,Canterbury,"655,000",14.72,Standard
3147,Saloon,Toyota,MARKX,2005.0,Blue,2021-10-11,Auckland,"1,695,200",343.09,Standard
175,Trailer - Heavy,Trailer,MM INDUSTRIES,2019.0,Silver,2021-10-11,Auckland,"1,695,200",343.09,Standard
3433,Hatchback,Subaru,IMPREZA,2009.0,Grey,2021-10-11,Wellington,"543,500",67.52,Standard
214,Trailer - Heavy,Reid,TRAILER,2015.0,Silver,2021-10-11,Auckland,"1,695,200",343.09,Standard
1145,Stationwagon,Ford,MONDEO,2003.0,Red,2021-10-11,Waikato,"513,800",21.5,Standard
827,Utility,Mazda,BOUNTY,2002.0,White,2021-10-11,Bay of Plenty,"347,700",28.8,Standard
3002,Stationwagon,Dodge,JOURNEY,2013.0,Black,2021-10-11,Auckland,"1,695,200",343.09,Standard
1087,Saloon,Mitsubishi,DIAMANTE,2003.0,Red,2021-10-11,Auckland,"1,695,200",343.09,Standard
4056,Boat Trailer,Toko,5M BOAT TRAILER,2006.0,Grey,2021-10-11,Otago,"246,000",7.89,Standard
1450,Stationwagon,Nissan,TERRANO,1996.0,Black,2021-10-11,Manawatū-Whanganui,"258,200",11.62,Standard
3179,Stationwagon,Honda,ODYSSEY,2004.0,Red,2021-10-11,Northland,"201,500",16.11,Standard
1012,Moped,TNT Motor,ROMA,2018.0,Black,2021-10-11,Gisborne,"52,100",6.21,Standard
464,Trailer,Homebuilt,TRAILER,2021.0,Black,2021-10-11,Northland,"201,500",16.11,Standard
1801,Stationwagon,Suzuki,SWIFT,2005.0,Red,2021-10-11,Auckland,"1,695,200",343.09,Standard
2091,Utility,Holden,COLORADO,2009.0,Grey,2021-10-11,Manawatū-Whanganui,"258,200",11.62,Standard
4161,Trailer,Trailer,ELITE 8X5 T,2012.0,Silver,2021-10-11,Canterbury,"655,000",14.72,Standard
2603,Stationwagon,Toyota,AVENSIS,2006.0,Silver,2021-10-11,Wellington,"543,500",67.52,Standard
4270,Light Van,Ford,ECONOVAN,1997.0,White,2021-10-12,Canterbury,"655,000",14.72,Standard
2739,Flat Deck Truck,Nissan,ATLAS,1993.0,White,2021-10-12,Canterbury,"655,000",14.72,Standard
275,Trailer - Heavy,Custombuilt,TBS,2016.0,Grey,2021-10-12,Auckland,"1,695,200",343.09,Standard
3246,Trailer,Trailer,DIGGER TRAILER,2007.0,Silver,2021-10-12,Auckland,"1,695,200",343.09,Standard
121,Boat Trailer,Homebuilt,EZ LOADER STABI CRAF,1989.0,Grey,2021-10-12,Canterbury,"655,000",14.72,Standard
3252,Trailer - Heavy,Trailer,MOBIL,1991.0,White,2021-10-12,Wellington,"543,500",67.52,Standard
593,Trailer - Heavy,Homebuilt,ABEL,1987.0,Yellow,2021-10-12,Gisborne,"52,100",6.21,Standard
3075,Stationwagon,BMW,X5,2007.0,Black,2021-10-12,Bay of Plenty,"347,700",28.8,Luxury
210,Trailer,Trailer,TRADETESTED 7 X 4,2015.0,Silver,2021-10-12,Auckland,"1,695,200",343.09,Standard
2130,Saloon,Honda,ACCORD,2003.0,Silver,2021-10-12,Auckland,"1,695,200",343.09,Standard
4214,Utility,Nissan,DATSUN,1992.0,White,2021-10-12,Waikato,"513,800",21.5,Standard
1303,Moped,Forza,CAPRI,2021.0,Black,2021-10-12,Auckland,"1,695,200",343.09,Standard
1286,Roadbike,Suzuki,DR350,1998.0,White,2021-10-12,Bay of Plenty,"347,700",28.8,Standard
2466,Stationwagon,Ford,TERRITORY,2012.0,White,2021-10-12,Auckland,"1,695,200",343.09,Standard
2291,Stationwagon,Daihatsu,ROCKY,1991.0,Black,2021-10-12,Bay of Plenty,"347,700",28.8,Standard
183,Roadbike,Suzuki,DR-Z400,2005.0,Yellow,2021-10-12,Canterbury,"655,000",14.72,Standard
2377,Saloon,Mercedes-Benz,C,2011.0,White,2021-10-12,Auckland,"1,695,200",343.09,Luxury
2191,Stationwagon,Subaru,IMPREZA,2001.0,Red,2021-10-12,Canterbury,"655,000",14.72,Standard
162,Trailer - Heavy,Briford,TRAILER,2015.0,Silver,2021-10-12,Wellington,"543,500",67.52,Standard
4173,Hatchback,Nissan,SENTRA,1995.0,White,2021-10-12,Canterbury,"655,000",14.72,Standard
2916,Hatchback,Toyota,RAUM,2004.0,Green,2021-10-12,Canterbury,"655,000",14.72,Standard
1504,Stationwagon,Hyundai,SANTA FE,2005.0,Blue,2021-10-12,Nelson,"54,500",129.15,Standard
4339,Utility,Ford,COURIER,1999.0,Red,2021-10-12,Hawke's Bay,"182,700",12.92,Standard
3309,Mobile Machine,Takeuchi,TB216,2018.0,Grey,2021-10-12,Auckland,"1,695,200",343.09,Standard
2643,Saloon,Honda,CIVIC,2005.0,Silver,2021-10-12,Wellington,"543,500",67.52,Standard
2519,Utility,Mitsubishi,L200,1997.0,Green,2021-10-12,Bay of Plenty,"347,700",28.8,Standard
937,Moped,Yamaha,YW50,2015.0,Red,2021-10-12,Auckland,"1,695,200",343.09,Standard
647,Trailer - Heavy,Trailer,FACTORY BUILT,2003.0,Silver,2021-10-13,Canterbury,"655,000",14.72,Standard
1578,Saloon,Mitsubishi,GALANT,2006.0,Red,2021-10-13,Taranaki,"127,300",17.55,Standard
1008,Roadbike,Triumph,ROCKET III,2005.0,Orange,2021-10-13,Waikato,"513,800",21.5,Standard
2278,Flat Deck Truck,Nissan,ATLAS,1994.0,White,2021-10-13,Canterbury,"655,000",14.72,Standard
640,Roadbike,Honda,WW,2013.0,Black,2021-10-13,Auckland,"1,695,200",343.09,Standard
1066,Stationwagon,Subaru,IMPREZA,2001.0,White,2021-10-13,Auckland,"1,695,200",343.09,Standard
793,Stationwagon,Mitsubishi,MIRAGE,1999.0,Silver,2021-10-13,Nelson,"54,500",129.15,Standard
3011,Hatchback,Toyota,IST,2004.0,Black,2021-10-13,Auckland,"1,695,200",343.09,Standard
1508,Utility,Ford,COURIER,2005.0,White,2021-10-13,Auckland,"1,695,200",343.09,Standard
2961,Light Van,Toyota,HIACE,2008.0,Silver,2021-10-13,Hawke's Bay,"182,700",12.92,Standard
1054,Stationwagon,Nissan,TERRANO,1996.0,Blue,2021-10-13,Bay of Plenty,"347,700",28.8,Standard
1420,Saloon,Nissan,SUNNY,1996.0,Silver,2021-10-13,Waikato,"513,800",21.5,Standard
1415,Utility,Mazda,BOUNTY,2004.0,Blue,2021-10-13,Bay of Plenty,"347,700",28.8,Standard
1338,Moped,TNT Motor,ROMA,2021.0,Black,2021-10-13,Wellington,"543,500",67.52,Standard
52,Caravan,Elddis,RIVIERA 482,2003.0,White,2021-10-13,Canterbury,"655,000",14.72,Standard
3156,Saloon,Mercedes-Benz,E240,2002.0,Blue,2021-10-14,Auckland,"1,695,200",343.09,Luxury
4367,Stationwagon,Nissan,PATROL,1999.0,Green,2021-10-14,Canterbury,"655,000",14.72,Standard
4133,Saloon,Ford,TELSTAR GHIA,1993.0,Green,2021-10-14,Bay of Plenty,"347,700",28.8,Standard
239,Trailer,Trailer,KEA,2016.0,Silver,2021-10-14,Auckland,"1,695,200",343.09,Standard
200,Trailer,Trailer,HOME BUILT,2001.0,Grey,2021-10-14,Otago,"246,000",7.89,Standard
2468,Convertible,Volvo,C70,2003.0,White,2021-10-14,Auckland,"1,695,200",343.09,Luxury
2460,Light Van,Toyota,HIACE,2000.0,White,2021-10-14,Auckland,"1,695,200",343.09,Standard
3795,Saloon,Nissan,PULSAR,1998.0,Silver,2021-10-14,Waikato,"513,800",21.5,Standard
2605,Light Van,Nissan,CARAVAN,2008.0,White,2021-10-14,Canterbury,"655,000",14.72,Standard
662,Roadbike,Victory,VEGAS,2013.0,Black,2021-10-14,Southland,"102,400",3.28,Standard
3418,Light Van,Mazda,BONGO,2012.0,White,2021-10-14,Wellington,"543,500",67.52,Standard
3380,Hatchback,Nissan,NOTE,2005.0,Grey,2021-10-14,Waikato,"513,800",21.5,Standard
2118,Hatchback,Toyota,ALLEX,2002.0,Silver,2021-10-14,Canterbury,"655,000",14.72,Standard
419,Trailer,Briford,8X4,2020.0,Silver,2021-10-14,Canterbury,"655,000",14.72,Standard
4452,Saloon,Toyota,ARISTO,1997.0,Blue,2021-10-14,Canterbury,"655,000",14.72,Standard
3390,Light Van,Ford,TRANSIT,2018.0,White,2021-10-14,Auckland,"1,695,200",343.09,Standard
439,Trailer,Trailer,DOMESTIC TRAILER,2020.0,Silver,2021-10-14,Bay of Plenty,"347,700",28.8,Standard
562,Trailer,Titan,DOMESTIC TRAILER,2021.0,Silver,2021-10-14,Auckland,"1,695,200",343.09,Standard
2161,Stationwagon,Toyota,CALDINA,1996.0,Black,2021-10-14,Gisborne,"52,100",6.21,Standard
2204,Stationwagon,Land Rover,RANGE ROVER,2006.0,Black,2021-10-14,Wellington,"543,500",67.52,Luxury
4424,Trailer,Trailer,MAINLINE 400,2014.0,Grey,2021-10-14,Gisborne,"52,100",6.21,Standard
3012,Saloon,Peugeot,407,2005.0,Black,2021-10-15,Waikato,"513,800",21.5,Standard
4310,Stationwagon,Nissan,TERRANO,1996.0,Green,2021-10-15,Gisborne,"52,100",6.21,Standard
2485,Stationwagon,Honda,EDIX,2005.0,Blue,2021-10-15,Auckland,"1,695,200",343.09,Standard
1719,Stationwagon,Toyota,ESTIMA,1998.0,Silver,2021-10-15,Wellington,"543,500",67.52,Standard
3631,Stationwagon,Toyota,RAV4,2020.0,Blue,2021-10-15,Auckland,"1,695,200",343.09,Standard
4269,Saloon,Honda,ACCORD,1997.0,Red,2021-10-15,Otago,"246,000",7.89,Standard
1250,Moped,Forza,CICLONE,2020.0,Black,2021-10-15,Auckland,"1,695,200",343.09,Standard
1057,Saloon,Mitsubishi,GALANT,1997.0,White,2021-10-15,Wellington,"543,500",67.52,Standard
2693,Light Van,Mitsubishi,L300,2014.0,White,2021-10-15,Auckland,"1,695,200",343.09,Standard
4387,Hatchback,Toyota,COROLLA,1999.0,White,2021-10-15,Gisborne,"52,100",6.21,Standard
2647,Stationwagon,Ford,KUGA,2014.0,Silver,2021-10-15,Canterbury,"655,000",14.72,Standard
11,Trailer,Trailer,HOMEBUILT,2018.0,Silver,2021-10-15,Manawatū-Whanganui,"258,200",11.62,Standard
1155,Hatchback,Nissan,PULSAR,2003.0,Blue,2021-10-15,Wellington,"543,500",67.52,Standard
1652,Utility,Holden,RODEO 4X2,2006.0,White,2021-10-15,Bay of Plenty,"347,700",28.8,Standard
955,Roadbike,Harley Davidson,V-ROD,2003.0,Silver,2021-10-16,Auckland,"1,695,200",343.09,Standard
3557,Saloon,Nissan,SUNNY,1998.0,White,2021-10-16,Auckland,"1,695,200",343.09,Standard
1625,Saloon,Nissan,PRIMERA,1996.0,Silver,2021-10-16,Northland,"201,500",16.11,Standard
1857,Stationwagon,Nissan,TERRANO,1999.0,Blue,2021-10-16,Southland,"102,400",3.28,Standard
3997,Trailer,Trailer,HOMEBUILT,1998.0,Blue,2021-10-16,Auckland,"1,695,200",343.09,Standard
2634,Saloon,Holden,COMMODORE,2010.0,Grey,2021-10-16,Auckland,"1,695,200",343.09,Standard
1376,Saloon,Nissan,MAXIMA,2004.0,Black,2021-10-16,Bay of Plenty,"347,700",28.8,Standard
2547,Stationwagon,Mitsubishi,OUTLANDER,2014.0,Black,2021-10-16,Hawke's Bay,"182,700",12.92,Standard
888,Moped,TNT Motor,ROMA,2019.0,Black,2021-10-16,Wellington,"543,500",67.52,Standard
4419,Trailer,Homebuilt,UTILITY,1995.0,Green,2021-10-16,Canterbury,"655,000",14.72,Standard
1813,Caravan,Caravan,ELDIS,1994.0,White,2021-10-16,Wellington,"543,500",67.52,Standard
4110,Trailer,Kea,KC105,2011.0,Silver,2021-10-16,Hawke's Bay,"182,700",12.92,Standard
2256,Hatchback,Volkswagen,GOLF,2004.0,Black,2021-10-16,Auckland,"1,695,200",343.09,Standard
603,Trailer,Kea,K64SA,2018.0,Silver,2021-10-16,Waikato,"513,800",21.5,Standard
501,Trailer,Trailer,TRAYLA,2021.0,Silver,2021-10-16,Taranaki,"127,300",17.55,Standard
3813,Saloon,Holden,COMMODORE,2003.0,Black,2021-10-16,Canterbury,"655,000",14.72,Standard
377,Trailer,Homebuilt,TRAILER,2020.0,Black,2021-10-16,Otago,"246,000",7.89,Standard
3919,Saloon,Holden,COMMODORE,2004.0,Black,2021-10-16,Waikato,"513,800",21.5,Standard
1852,Utility,Nissan,NAVARA,2007.0,Grey,2021-10-17,Northland,"201,500",16.11,Standard
4185,Saloon,Holden,ROYALE 6,1984.0,Grey,2021-10-17,Bay of Plenty,"347,700",28.8,Standard
3213,Stationwagon,Mazda,ATENZA,2006.0,Silver,2021-10-17,Bay of Plenty,"347,700",28.8,Standard
1479,Stationwagon,Nissan,TERRANO,1993.0,Black,2021-10-17,Canterbury,"655,000",14.72,Standard
2789,Hatchback,Mazda,AXELA,2008.0,White,2021-10-17,Gisborne,"52,100",6.21,Standard
2781,Saloon,Mazda,ATENZA,2003.0,Red,2021-10-17,Waikato,"513,800",21.5,Standard
745,Other Truck,Daihatsu,DELTA,2001.0,White,2021-10-17,Auckland,"1,695,200",343.09,Standard
1803,Saloon,Holden,COMMODORE,2007.0,Black,2021-10-17,Auckland,"1,695,200",343.09,Standard
563,Trailer,Trailer,BETTER,2021.0,Silver,2021-10-17,Gisborne,"52,100",6.21,Standard
2944,Stationwagon,Mazda,DEMIO,2005.0,Brown,2021-10-17,Auckland,"1,695,200",343.09,Standard
689,Roadbike,Honda,NBC,2013.0,Green,2021-10-17,Gisborne,"52,100",6.21,Standard
893,Roadbike,Vespa,LX,2013.0,White,2021-10-17,Auckland,"1,695,200",343.09,Standard
2295,Stationwagon,Holden,COMMODORE,2008.0,Green,2021-10-17,Waikato,"513,800",21.5,Standard
476,Trailer,Trailer,VULCAN C8X5T,2017.0,Silver,2021-10-17,Auckland,"1,695,200",343.09,Standard
3589,Saloon,Nissan,SKYLINE,2006.0,Silver,2021-10-17,Canterbury,"655,000",14.72,Standard
1115,Stationwagon,Mazda,MPV,1996.0,Red,2021-10-17,Waikato,"513,800",21.5,Standard
783,Light Van,Hyundai,H100,2002.0,White,2021-10-17,Auckland,"1,695,200",343.09,Standard
3214,Stationwagon,Mazda,ATENZA,2006.0,Silver,2021-10-17,Bay of Plenty,"347,700",28.8,Standard
1094,Stationwagon,Nissan,SAFARI,1993.0,Black,2021-10-17,Auckland,"1,695,200",343.09,Standard
1730,Saloon,Mitsubishi,LANCER,2001.0,Silver,2021-10-17,Auckland,"1,695,200",343.09,Standard
1134,Hatchback,Honda,JAZZ,2003.0,Black,2021-10-17,Northland,"201,500",16.11,Standard
3778,Sports Car,Toyota,TRUENO,1994.0,White,2021-10-17,Auckland,"1,695,200",343.09,Standard
4039,Saloon,Nissan,SENTRA,1990.0,Silver,2021-10-18,Manawatū-Whanganui,"258,200",11.62,Standard
3503,Stationwagon,Volkswagen,GOLF,2009.0,Blue,2021-10-18,Northland,"201,500",16.11,Standard
3359,Saloon,Mitsubishi,LANCER,2004.0,White,2021-10-18,Auckland,"1,695,200",343.09,Standard
1444,Sports Car,Toyota,CAVALIER,1996.0,Red,2021-10-18,Gisborne,"52,100",6.21,Standard
4058,Trailer,Trailer,TANDEM,2010.0,Silver,2021-10-18,Bay of Plenty,"347,700",28.8,Standard
372,Trailer,Trailer,TUFF,2020.0,Silver,2021-10-18,Auckland,"1,695,200",343.09,Standard
3027,Stationwagon,Mitsubishi,OUTLANDER,2006.0,Blue,2021-10-18,Bay of Plenty,"347,700",28.8,Standard
247,Trailer,Buffalo,8X5 TANDEM TRAILER,2019.0,Silver,2021-10-18,Canterbury,"655,000",14.72,Standard
4400,Stationwagon,Toyota,COROLLA,1999.0,White,2021-10-18,Gisborne,"52,100",6.21,Standard
589,Moped,Moped,CICLONE,2008.0,Red,2021-10-18,Auckland,"1,695,200",343.09,Standard
1041,Hatchback,Subaru,IMPREZA,1995.0,Silver,2021-10-18,Manawatū-Whanganui,"258,200",11.62,Standard
1334,Moped,Factory Built,VIVA,2021.0,Black,2021-10-18,Wellington,"543,500",67.52,Standard
630,Roadbike,Kawasaki,KLX,2014.0,Green,2021-10-18,Wellington,"543,500",67.52,Standard
1524,Stationwagon,Toyota,HILUX,1995.0,Blue,2021-10-18,Canterbury,"655,000",14.72,Standard
1861,Saloon,Nissan,BLUEBIRD,1998.0,Blue,2021-10-18,Waikato,"513,800",21.5,Standard
3609,Light Van,Toyota,HIACE,2012.0,White,2021-10-18,Auckland,"1,695,200",343.09,Standard
2173,Stationwagon,BMW,325I,2005.0,Silver,2021-10-18,Northland,"201,500",16.11,Luxury
2811,Hatchback,Nissan,NOTE,2005.0,White,2021-10-18,Auckland,"1,695,200",343.09,Standard
2546,Sports Car,Mazda,ROADSTER,1998.0,Green,2021-10-18,Gisborne,"52,100",6.21,Standard
3442,Saloon,Honda,INSIGHT,2009.0,Red,2021-10-18,Auckland,"1,695,200",343.09,Standard
622,Moped,Keeway,F-ACT,2012.0,White,2021-10-18,Auckland,"1,695,200",343.09,Standard
4219,Saloon,Nissan,LAUREL,1991.0,Black,2021-10-18,Canterbury,"655,000",14.72,Standard
1887,Saloon,Nissan,PULSAR,1996.0,Grey,2021-10-18,Hawke's Bay,"182,700",12.92,Standard
81,Trailer,Trailer,COMPASS D105,2015.0,Silver,2021-10-18,Auckland,"1,695,200",343.09,Standard
778,Hatchback,Toyota,ECHO,2002.0,Red,2021-10-18,Auckland,"1,695,200",343.09,Standard
1201,Saloon,Nissan,CEFIRO,1995.0,Purple,2021-10-18,Manawatū-Whanganui,"258,200",11.62,Standard
2332,Saloon,Toyota,ALTEZZA,2001.0,Silver,2021-10-18,Canterbury,"655,000",14.72,Standard
45,Trailer,Trailer,DOMESTIC TRAILER,2014.0,Silver,2021-10-19,Bay of Plenty,"347,700",28.8,Standard
588,Trailer,Trailer,DOMESTIC,2019.0,Grey,2021-10-19,Auckland,"1,695,200",343.09,Standard
1825,Light Van,Toyota,HIACE,1999.0,Blue,2021-10-19,Manawatū-Whanganui,"258,200",11.62,Standard
332,Trailer,Trailer,DOMESTIC TRAILER,2012.0,Silver,2021-10-19,Taranaki,"127,300",17.55,Standard
1910,Stationwagon,Toyota,LANDCRUISER,1996.0,Gold,2021-10-19,Canterbury,"655,000",14.72,Standard
2757,Stationwagon,Landrover,DISCOVERY,2006.0,Silver,2021-10-19,Otago,"246,000",7.89,Luxury
337,Trailer,Titan,8X5,2016.0,Silver,2021-10-19,Bay of Plenty,"347,700",28.8,Standard
366,Trailer,Trailer,COOPER,2020.0,Black,2021-10-19,Canterbury,"655,000",14.72,Standard
4190,Light Van,Toyota,HIACE 2.4ZR MAN,1995.0,White,2021-10-19,Canterbury,"655,000",14.72,Standard
1392,Saloon,Ford,FALCON,2004.0,Silver,2021-10-19,Bay of Plenty,"347,700",28.8,Standard
1432,Stationwagon,Mitsubishi,PAJERO,2004.0,Silver,2021-10-19,Canterbury,"655,000",14.72,Standard
4335,Sports Car,Toyota,CELICA,1999.0,Red,2021-10-19,Hawke's Bay,"182,700",12.92,Standard
4140,Sports Car,Honda,LEGEND COUPE 3.2,1993.0,Silver,2021-10-19,Auckland,"1,695,200",343.09,Standard
144,Trailer,Pinto,ENCLOSED TRAILER,2019.0,Silver,2021-10-19,Auckland,"1,695,200",343.09,Standard
1024,Stationwagon,Nissan,SAFARI,1992.0,Grey,2021-10-19,Canterbury,"655,000",14.72,Standard
1572,Mobile Home - Light,Morris,FGK60,1943.0,White,2021-10-19,Manawatū-Whanganui,"258,200",11.62,Standard
705,Moped,Honda,TODAY 50,2007.0,Red,2021-10-19,Bay of Plenty,"347,700",28.8,Standard
632,Trailer,Trailer,PRESCOT,2003.0,Silver,2021-10-19,Bay of Plenty,"347,700",28.8,Standard
2108,Stationwagon,Toyota,SPACIO,2001.0,Gold,2021-10-19,Auckland,"1,695,200",343.09,Standard
113,Trailer,Trailer,LOCAL,1967.0,Grey,2021-10-19,Canterbury,"655,000",14.72,Standard
